time,rx_latitude,rx_longitude,gateway_id,device_id,spreading_factor
2024-05-02T15:28:12.143544,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:28:23.508925,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:28:34.877146,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:28:45.935351,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:28:57.303140,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:29:09.194220,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:29:20.033927,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:29:31.092811,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:30:01.545996,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:30:15.917764,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:30:27.309976,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:30:38.984993,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:30:49.844056,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:31:00.957860,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:31:12.569265,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:31:23.833374,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:31:35.508525,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:31:46.565554,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:31:57.675869,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:32:09.298698,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:32:20.665403,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:32:31.724294,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:32:43.115813,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:32:54.464924,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:33:05.826645,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:33:17.189349,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:33:39.292682,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:33:58.604753,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:34:12.838668,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:34:24.467179,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:34:36.140077,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:34:46.863000,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:34:58.563484,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:35:09.488968,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:35:20.948007,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:35:32.702024,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:36:04.343105,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:36:17.294443,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:36:29.192702,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,7
2024-05-02T15:36:40.034479,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:36:51.348442,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:37:03.245585,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:37:14.087456,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:37:25.757618,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:37:37.124522,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:37:47.982084,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:37:59.550491,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:38:11.221442,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:38:22.008872,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:38:41.410244,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:38:55.769164,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:39:07.101862,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:39:18.451641,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:39:29.766412,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:39:41.546860,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:39:52.882159,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:40:03.880750,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:40:15.093234,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:40:37.353514,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:40:48.824698,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:41:00.068589,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:41:12.187843,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:41:22.797640,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:41:34.298604,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:41:56.587399,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:42:18.892412,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:42:31.129184,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,8
2024-05-02T15:42:43.136543,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,8
2024-05-02T15:44:10.974625,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:44:21.728589,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:44:33.045185,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:44:44.458386,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,10
2024-05-02T15:45:06.995623,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,10
2024-05-02T15:46:35.671518,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:46:46.902916,38.0364899618821,-78.5225814910092,eui-9cd57dfffed203d0,eui-0102030405060708,10
2024-05-02T15:47:42.646111,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:47:53.558845,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:48:04.848284,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:48:16.220630,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:48:27.808317,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:48:38.852134,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:48:50.231855,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:49:01.600660,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:49:41.683162,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:51:10.671568,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:51:17.710038,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:51:39.513282,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:51:50.737468,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:52:02.254735,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,10
2024-05-02T15:52:13.916098,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,9
2024-05-02T15:52:24.521072,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:52:36.124374,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:52:47.142745,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:53:06.524789,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:53:21.201292,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:53:41.502228,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:53:54.580334,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:54:06.052554,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:54:17.616368,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:54:29.098242,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:54:39.960924,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:54:51.703331,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:55:11.796327,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:55:25.002412,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:55:47.560656,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:56:06.789270,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:56:21.438878,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:56:32.989266,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:56:43.961603,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:56:56.249324,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:57:06.450083,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:57:17.864785,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:57:30.043499,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:57:40.820107,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:57:51.860042,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:58:03.148304,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:58:14.539860,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:58:25.959620,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
2024-05-02T15:58:37.150141,38.0316900740536,-78.5109140863356,eui-9cd47dfffe9e0450,eui-0102030405060708,7
